date,XLF,IYF,IYF/XLF,IYF/XLF avg,IYF/XLF 10 dma,IYF/XLF 20 dma,XLF avg,XLF 10 dma,XLF 20 dma,avg diff,10 dma diff,20 dma diff,XLF div,IYF div,XLF*,IYF*,IYF*/XLF*,IYF*/XLF* avg,IYF*/XLF* 10 dma,IYF*/XLF* 20 dma,XLF* avg,XLF* 10 dma,XLF* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,54.93,129.65,2.360276715820135,2.3831651971309507,,,,,,,,,0.0,0.0,54.93,129.65,2.360276715820135,2.383649936562074,,,,,,,,
2026-01-05,56.13,132.78,2.365579903794762,2.3831651971309507,,,133.76706251496026,,,-0.007406324554026323,,,0.0,0.0,56.13,132.78,2.365579903794762,2.383649936562074,,,133.79427093922922,,,-0.007609705393936903,,
2026-01-06,56.4,133.0,2.3581560283687946,2.3831651971309507,,,134.41051711818562,,,-0.010549549173191116,,,0.0,0.0,56.4,133.0,2.3581560283687946,2.383649936562074,,,134.43785642210096,,,-0.010752930013101476,,
2026-01-07,55.61,130.84,2.352814242042798,2.3831651971309507,,,132.52781661245217,,,-0.012817357420221161,,,0.0,0.0,55.61,130.84,2.352814242042798,2.383649936562074,,,132.5547729722169,,,-0.013020738260131337,,
2026-01-08,55.9,131.79,2.357602862254025,2.3831651971309507,,,133.21893451962015,,,-0.010784152396187343,,,0.0,0.0,55.9,131.79,2.357602862254025,2.383649936562074,,,133.2460314538199,,,-0.010987533236097606,,
2026-01-09,55.73,131.56,2.360667504037323,2.3831651971309507,,,132.81379643610788,,,-0.009485099151520397,,,0.0,0.0,55.73,131.56,2.360667504037323,2.383649936562074,,,132.84081096460437,,,-0.009688479991430854,,
2026-01-12,55.29,131.07,2.370591427021161,2.3831651971309507,,,131.76520374937027,,,-0.0052900476093191645,,,0.0,0.0,55.29,131.07,2.370591427021161,2.383649936562074,,,131.79200499251706,,,-0.005493428449229536,,
2026-01-13,54.23,129.16,2.38170754195095,2.3831651971309507,,,129.23904864041145,,,-0.0006118338538264971,,,0.0,0.0,54.23,129.16,2.38170754195095,2.383649936562074,,,129.26533605976127,,,-0.0008152146937369148,,
2026-01-14,54.15,128.99,2.382086795937212,2.3831651971309507,,,129.04839542464097,,,-0.00045261036088648085,,,0.0,0.0,54.15,128.99,2.382086795937212,2.383649936562074,,,129.0746440648363,,,-0.0006559912007968164,,
2026-01-15,54.37,129.76,2.386610263012691,2.3831651971309507,2.367609328423985,,129.57269176800978,,,0.0014445403183419162,,,0.0,0.0,54.37,129.76,2.386610263012691,2.383649936562074,2.367609328423985,,129.59904705087996,,,0.001241159478431306,,
2026-01-16,54.44,129.84,2.385011021307862,2.3831651971309507,2.370082758972758,,129.73951333180895,128.89265183940174,,0.0007742265321388246,0.007323021562616429,,0.0,0.0,54.44,129.84,2.385011021307862,2.383649936562074,2.370082758972758,,129.7659025464393,128.89265183940174,,0.0005708456922284039,0.007323021562616429,
2026-01-20,53.2,126.95,2.3862781954887216,2.3831651971309507,2.372152588142154,,126.78438848736658,126.08840277735074,,0.001305392912156923,0.006810037867928733,,0.0,0.0,53.2,126.95,2.3862781954887216,2.383649936562074,2.372152588142154,,126.81017662510233,126.08840277735074,,0.001102012072246685,0.006810037867928733,
2026-01-21,53.46,127.82,2.390946502057613,2.3831651971309507,2.3754316355110356,,127.40401143862063,126.81527736207956,,0.0032597946204308953,0.007891505548543495,,0.0,0.0,53.46,127.82,2.390946502057613,2.383649936562074,2.3754316355110356,,127.42992560860847,126.81527736207956,,0.003056413780520565,0.007891505548543495,
2026-01-22,53.81,128.41,2.3863594127485594,2.3831651971309507,2.3787861525816116,,128.23811925761646,127.82197630684884,,0.0013394274509224958,0.004589784100388606,,0.0,0.0,53.81,128.41,2.3863594127485594,2.383649936562074,2.3787861525816116,,128.2642030864052,127.82197630684884,,0.0011360466110122897,0.004589784100388606,
2026-01-23,53.07,126.73,2.387978142076503,2.3831651971309507,2.3818236805638593,,126.47457701173956,126.24218111750614,,0.0020175233632374764,0.0038567045988787472,,0.0,0.0,53.07,126.73,2.387978142076503,2.383649936562074,2.3818236805638593,,126.50030213334925,126.24218111750614,,0.0018141425233272588,0.0038567045988787472,
2026-01-26,53.41,127.49,2.387006178618236,2.3831651971309507,2.3844575480219508,,127.28485317876407,127.21320277891571,,0.0016104169074202734,0.0021734891986549495,,0.0,0.0,53.41,127.49,2.387006178618236,2.383649936562074,2.3844575480219508,,127.31074311178035,127.21320277891571,,0.0014070360675099093,0.0021734891986549495,
2026-01-27,53.0,126.82,2.392830188679245,2.3831651971309507,2.386681424187759,,126.30775544794038,126.37625004516339,,0.004047325828831958,0.0035051894259603565,,0.0,0.0,53.0,126.82,2.392830188679245,2.383649936562074,2.386681424187759,,126.3334466377899,126.37625004516339,,0.003843944988921741,0.0035051894259603565,
